n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
300,150,1.0,greater,-8.11,-28.71,-2.79,-2.71,-0.6145,-0.0996,-9.82,38
260,150,1.0,greater,-8.37,-29.45,-2.88,-2.8,-0.6154,-0.1075,-9.67,34
260,150,1.5,greater,-8.49,-30.14,-2.92,-2.84,-0.6262,-0.1077,-9.67,28
20,150,2.0,greater,-6.75,-21.31,-2.31,-2.26,-0.6357,-0.1222,-11.16,74
200,150,1.0,greater,-8.45,-30.65,-2.91,-2.82,-0.6359,-0.1108,-9.34,32
140,150,1.5,greater,-12.01,-36.77,-4.18,-4.01,-0.6416,-0.1154,-12.01,42
120,150,2.0,greater,-12.72,-40.28,-4.44,-4.25,-0.648,-0.1379,-21.3,36
140,100,1.0,greater,-22.83,-102.63,-8.29,-7.63,-0.6539,-0.3124,-37.06,268
140,150,1.0,greater,-13.66,-41.83,-4.79,-4.56,-0.6647,-0.1349,-13.66,52
280,150,1.0,greater,-8.88,-31.56,-3.06,-2.97,-0.672,-0.1093,-9.82,34
60,150,2.0,greater,-11.73,-44.32,-4.08,-3.92,-0.6935,-0.1761,-23.38,56
120,150,1.5,greater,-13.73,-44.33,-4.81,-4.59,-0.6952,-0.1558,-22.6,48
260,100,1.5,greater,-13.73,-50.55,-4.81,-4.59,-0.702,-0.2294,-16.15,136
40,100,2.0,greater,-14.86,-57.05,-5.23,-4.97,-0.7094,-0.2582,-28.01,166
120,100,1.0,greater,-21.77,-97.92,-7.88,-7.27,-0.7314,-0.3205,-34.76,246
140,150,2.0,greater,-12.94,-39.97,-4.53,-4.32,-0.751,-0.1286,-12.94,34
80,100,1.0,greater,-20.01,-81.46,-7.19,-6.68,-0.7738,-0.337,-33.48,272
300,100,1.5,greater,-16.17,-56.55,-5.72,-5.4,-0.7806,-0.2478,-19.74,132
280,100,2.0,greater,-14.14,-51.5,-4.97,-4.73,-0.7977,-0.2195,-16.71,92
240,100,2.0,greater,-14.98,-55.53,-5.28,-5.01,-0.8148,-0.2383,-18.43,82
240,100,1.5,greater,-15.79,-59.21,-5.58,-5.28,-0.8215,-0.2607,-17.46,122
40,100,1.0,greater,-21.42,-82.05,-7.74,-7.15,-0.8385,-0.3605,-33.01,318
260,100,2.0,greater,-15.18,-57.08,-5.35,-5.07,-0.8398,-0.2453,-17.55,84
260,100,1.0,greater,-16.96,-64.2,-6.02,-5.67,-0.8469,-0.3035,-18.45,202
80,100,1.5,greater,-20.96,-83.37,-7.56,-7.0,-0.8563,-0.336,-33.57,210
240,100,1.0,greater,-17.36,-64.71,-6.17,-5.8,-0.8789,-0.31,-17.83,186
180,100,2.0,greater,-15.14,-53.4,-5.34,-5.06,-0.8835,-0.2569,-17.25,104
40,100,1.5,greater,-22.44,-86.98,-8.14,-7.5,-0.9701,-0.3738,-34.78,238
60,150,1.5,greater,-17.0,-68.96,-6.04,-5.68,-0.9756,-0.274,-27.04,78
220,100,1.5,greater,-18.0,-67.21,-6.41,-6.01,-0.9759,-0.3063,-18.6,130
280,100,1.0,greater,-19.18,-73.92,-6.87,-6.41,-0.9997,-0.3427,-20.78,212
220,100,2.0,greater,-17.6,-65.82,-6.26,-5.88,-1.0094,-0.2902,-18.2,88
200,100,2.0,greater,-17.45,-63.44,-6.2,-5.83,-1.0343,-0.2966,-17.87,104
100,100,2.0,greater,-22.98,-90.9,-8.35,-7.68,-1.0432,-0.3417,-33.34,142
80,100,2.0,greater,-24.09,-94.01,-8.8,-8.05,-1.0618,-0.3821,-36.67,158
100,100,1.0,greater,-26.23,-106.85,-9.66,-8.76,-1.0694,-0.4236,-35.67,270
300,100,1.0,greater,-22.69,-87.16,-8.24,-7.58,-1.0952,-0.3817,-24.78,204
100,100,1.5,greater,-24.45,-97.44,-8.94,-8.17,-1.0957,-0.3864,-34.64,188
220,100,1.0,greater,-20.91,-79.99,-7.54,-6.99,-1.0984,-0.3917,-22.5,200
60,150,1.0,greater,-19.73,-81.69,-7.08,-6.59,-1.1017,-0.334,-29.38,100
180,100,1.5,greater,-22.83,-87.59,-8.29,-7.63,-1.1259,-0.3712,-25.63,156
60,100,2.0,greater,-22.97,-90.62,-8.35,-7.68,-1.1292,-0.4125,-34.01,164
60,100,1.5,greater,-25.72,-109.24,-9.46,-8.59,-1.1794,-0.486,-35.76,224
200,100,1.5,greater,-23.55,-87.12,-8.58,-7.87,-1.2458,-0.4018,-23.79,152
60,100,1.0,greater,-31.58,-137.52,-11.91,-10.55,-1.4051,-0.6346,-41.77,318
180,100,1.0,greater,-31.24,-118.44,-11.76,-10.44,-1.4192,-0.4794,-34.9,230
200,100,1.0,greater,-28.87,-112.53,-10.76,-9.65,-1.46,-0.5203,-30.08,226
