Symbol,n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
SPY,300,0.85,-1.0,lesser,-31.67,-101.2,-11.95,-10.58,-0.6079,-0.75,-39.92,9
SPY,300,0.8,-1.5,lesser,-30.15,-114.07,-11.3,-10.07,-0.6181,-0.7378,-37.78,9
SPY,200,0.85,-1.5,lesser,-33.9,-99.44,-12.92,-11.33,-0.6314,-0.7956,-42.63,11
SPY,300,0.8,-1.0,lesser,-32.74,-107.63,-12.41,-10.94,-0.6367,-0.786,-40.86,9
SPY,280,0.9,-2.0,lesser,-30.93,-128.4,-11.63,-10.33,-0.6398,-0.7474,-39.1,7
SPY,240,0.85,-2.0,lesser,-31.03,-114.08,-11.67,-10.37,-0.6425,-0.7816,-39.88,5
SPY,140,0.8,-1.5,lesser,-41.52,-111.51,-16.41,-13.87,-0.6603,-0.7654,-47.62,18
SPY,140,0.85,-1.0,lesser,-42.96,-130.91,-17.1,-14.35,-0.6821,-0.7908,-52.33,20
SPY,200,0.9,-2.0,lesser,-34.57,-141.01,-13.22,-11.55,-0.7402,-0.8881,-40.91,6
SPY,220,0.8,-1.5,lesser,-38.72,-122.61,-15.1,-12.94,-0.7634,-0.9704,-43.79,9
SPY,140,0.8,-1.0,lesser,-46.61,-154.42,-18.91,-15.57,-0.7753,-0.8985,-54.43,22
SPY,300,0.85,-2.0,lesser,-35.62,-152.34,-13.68,-11.9,-0.7767,-0.8993,-41.23,7
SPY,220,0.9,-1.5,lesser,-40.3,-133.42,-15.83,-13.46,-0.8089,-1.0434,-48.4,9
SPY,300,0.8,-2.0,lesser,-37.22,-161.64,-14.4,-12.44,-0.8255,-0.9565,-42.48,7
SPY,300,0.9,-2.0,lesser,-37.86,-172.39,-14.7,-12.65,-0.8457,-0.988,-45.16,5
SPY,220,0.85,-1.5,lesser,-43.21,-151.92,-17.22,-14.44,-0.8958,-1.1503,-48.61,9
