Symbol,n1,n2,dir_thresh_symmetric,conf_thresh,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
SPY,300,80,0.8,-1.5,32.85,108.59,9.96,10.98,0.608,0.7321,-27.49,14
SPY,260,240,0.8,-1.5,31.18,98.62,9.49,10.42,0.6056,0.7126,-21.96,10
SPY,260,60,0.9,-1.5,30.83,104.47,9.39,10.3,0.6054,0.6927,-22.71,11
SPY,280,20,0.85,-1.5,32.99,118.96,9.99,11.02,0.6034,0.7555,-14.51,20
SPY,300,200,0.85,-1.5,30.39,96.16,9.27,10.15,0.5939,0.7097,-23.87,7
SPY,200,20,0.85,-1.5,33.64,103.12,10.17,11.24,0.5938,0.7551,-25.42,32
SPY,260,40,0.85,-1.5,32.3,117.19,9.8,10.79,0.5903,0.7326,-20.33,20
SPY,300,240,0.85,-1.5,30.04,92.54,9.17,10.04,0.5887,0.6804,-21.75,5
SPY,240,120,0.85,-1.5,30.19,104.9,9.21,10.09,0.5855,0.679,-21.06,11
SPY,160,120,0.9,-1.5,38.89,113.1,11.6,12.99,0.5843,0.6864,-24.1,10
SPY,40,240,0.8,-1.5,31.51,88.82,9.58,10.53,0.5712,0.7201,-20.92,34
SPY,200,160,0.9,-1.5,28.05,98.59,8.61,9.37,0.5696,0.6578,-21.09,6
SPY,300,180,0.85,-1.5,28.83,92.84,8.83,9.63,0.5693,0.659,-22.44,6
SPY,200,260,0.85,-1.5,28.63,96.62,8.78,9.57,0.5692,0.6686,-24.12,13
SPY,300,240,0.8,-1.5,28.64,88.04,8.78,9.57,0.5677,0.6565,-22.26,5
SPY,180,240,0.9,-1.5,31.01,146.47,9.44,10.36,0.5646,0.7286,-25.45,15
SPY,160,260,0.8,-1.5,28.13,100.28,8.63,9.4,0.561,0.6544,-25.83,18
SPY,300,80,0.9,-1.5,29.11,94.23,8.91,9.73,0.5553,0.6684,-28.62,10
SPY,140,260,0.85,-1.5,27.68,89.81,8.51,9.25,0.5536,0.6395,-25.83,16
SPY,180,40,0.85,-1.5,32.98,75.9,9.99,11.02,0.5493,0.7141,-28.52,25
SPY,40,220,0.9,-1.5,30.52,78.27,9.31,10.2,0.5472,0.6873,-27.51,30
SPY,180,100,0.85,-1.5,32.5,68.05,9.86,10.86,0.5436,0.6803,-35.33,11
SPY,280,40,0.85,-1.5,28.79,103.45,8.82,9.62,0.5423,0.6682,-20.33,20
SPY,180,280,0.85,-1.5,26.69,96.72,8.22,8.92,0.5395,0.6484,-24.65,15
SPY,140,280,0.9,-1.5,26.67,88.25,8.22,8.91,0.5388,0.6189,-24.74,12
SPY,160,260,0.85,-1.5,26.64,95.99,8.21,8.9,0.5386,0.6284,-25.79,16
SPY,40,60,0.9,-1.5,35.98,171.1,10.81,12.02,0.5386,0.7002,-40.09,39
SPY,140,40,0.85,-1.5,35.42,103.84,10.66,11.83,0.538,0.6352,-31.14,29
SPY,220,100,0.85,-1.5,27.72,84.29,8.52,9.26,0.5362,0.6269,-28.75,11
SPY,280,180,0.85,-1.5,26.62,86.37,8.2,8.89,0.5359,0.6205,-23.76,6
SPY,300,180,0.8,-1.5,26.62,86.38,8.21,8.89,0.5349,0.6187,-23.76,6
SPY,260,40,0.8,-1.5,28.22,106.82,8.66,9.43,0.5338,0.664,-23.82,24
SPY,80,20,0.8,-1.5,35.35,127.35,10.64,11.81,0.5332,0.6394,-32.19,48
SPY,240,120,0.8,-1.5,26.56,93.64,8.19,8.87,0.5314,0.6195,-21.19,11
SPY,300,200,0.8,-1.5,26.22,86.37,8.09,8.76,0.5298,0.6209,-24.29,8
SPY,280,240,0.9,-1.5,25.04,79.54,7.75,8.37,0.5296,0.5843,-22.26,5
SPY,120,280,0.9,-1.5,26.01,91.42,8.03,8.69,0.5287,0.6224,-24.09,16
SPY,180,80,0.8,-1.5,31.22,78.11,9.5,10.43,0.5283,0.6799,-32.42,19
SPY,260,20,0.9,-1.5,27.72,107.06,8.52,9.26,0.5262,0.6624,-14.7,20
SPY,200,260,0.8,-1.5,25.69,90.99,7.94,8.58,0.5241,0.6156,-24.09,15
