n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
80,0.85,-2.0,lesser,-4.08,4.85,-1.38,-1.36,-0.0087,-0.0053,-23.11,48
200,0.85,-2.5,lesser,-2.35,-5.87,-0.79,-0.78,-0.0113,-0.0077,-19.03,10
260,0.9,-3.0,lesser,-2.24,-8.38,-0.76,-0.75,-0.014,-0.0091,-21.31,4
100,0.85,-2.0,lesser,-5.43,-28.58,-1.85,-1.81,-0.0175,-0.0111,-25.44,32
200,0.8,-2.5,lesser,-2.6,-6.65,-0.88,-0.87,-0.0186,-0.0128,-19.03,10
60,0.85,-3.0,lesser,-4.04,-9.12,-1.37,-1.35,-0.0211,-0.008,-29.11,21
60,0.9,-2.5,lesser,-4.15,-9.17,-1.4,-1.39,-0.0216,-0.0088,-29.11,29
60,0.8,-2.5,lesser,-4.59,-7.45,-1.56,-1.53,-0.0229,-0.0111,-29.11,39
100,0.8,-2.0,lesser,-5.94,-28.0,-2.02,-1.98,-0.0252,-0.0166,-25.44,35
80,0.7,-1.0,lesser,-6.42,1.8,-2.19,-2.14,-0.0306,-0.0234,-22.99,120
20,0.9,-1.5,lesser,-4.33,-12.48,-1.47,-1.45,-0.0324,-0.0244,-22.77,204
80,0.85,-1.0,lesser,-5.98,22.93,-2.04,-2.0,-0.0364,-0.0266,-26.96,87
200,0.9,-3.0,lesser,-2.99,-14.63,-1.01,-1.0,-0.0366,-0.0222,-17.18,6
180,0.7,-1.5,lesser,-5.61,-6.26,-1.91,-1.87,-0.0409,-0.0341,-19.42,35
280,0.7,-2.5,lesser,-4.25,-17.22,-1.44,-1.42,-0.0477,-0.0367,-23.71,9
200,0.9,-2.0,lesser,-3.71,-11.16,-1.25,-1.24,-0.0493,-0.0347,-19.8,11
80,0.85,-3.0,lesser,-1.69,-12.9,-0.57,-0.57,-0.0508,-0.0189,-14.87,6
100,0.9,-1.0,lesser,-7.27,16.83,-2.49,-2.43,-0.0516,-0.0374,-31.22,54
100,0.85,-2.5,lesser,-6.26,-34.62,-2.14,-2.09,-0.0547,-0.0282,-23.11,18
100,0.7,-2.5,lesser,-6.93,-33.05,-2.37,-2.32,-0.0565,-0.0338,-23.11,24
40,0.7,-2.5,lesser,-5.72,-14.66,-1.95,-1.91,-0.0584,-0.0318,-20.7,58
60,0.9,-3.0,lesser,-5.52,-11.3,-1.88,-1.84,-0.0601,-0.021,-29.11,17
40,0.8,-3.0,lesser,-0.49,-1.77,-0.16,-0.16,-0.0659,-0.0142,-4.9,16
200,0.7,-2.5,lesser,-4.26,-13.79,-1.44,-1.42,-0.0661,-0.0459,-19.75,10
260,0.85,-2.0,lesser,-5.05,-26.2,-1.72,-1.69,-0.0705,-0.053,-24.45,13
100,0.85,-1.0,lesser,-8.64,18.43,-2.97,-2.89,-0.0708,-0.0517,-33.95,63
80,0.85,-2.5,lesser,-2.87,-13.45,-0.97,-0.96,-0.0739,-0.04,-15.75,23
20,0.7,-2.5,lesser,-4.4,-7.48,-1.49,-1.47,-0.0746,-0.0302,-16.41,96
160,0.8,-2.5,lesser,-4.54,-23.39,-1.54,-1.52,-0.0769,-0.0532,-24.15,17
280,0.9,-2.0,lesser,-5.51,-21.11,-1.88,-1.84,-0.078,-0.0609,-23.61,12
180,0.85,-1.5,lesser,-7.26,-13.52,-2.49,-2.43,-0.0786,-0.0636,-20.95,30
260,0.7,-2.0,lesser,-5.53,-26.01,-1.88,-1.85,-0.0797,-0.0654,-21.88,15
40,0.85,-1.0,lesser,-8.44,-35.29,-2.9,-2.82,-0.0803,-0.0645,-28.12,177
260,0.85,-2.5,lesser,-5.13,-19.07,-1.74,-1.71,-0.0805,-0.0572,-21.97,10
180,0.8,-3.0,lesser,-4.7,-13.76,-1.6,-1.57,-0.082,-0.0543,-16.37,10
180,0.85,-3.0,lesser,-4.7,-13.76,-1.6,-1.57,-0.082,-0.0543,-16.37,10
80,0.9,-2.0,lesser,-7.3,-8.53,-2.5,-2.44,-0.0821,-0.0478,-23.11,42
20,0.8,-1.5,lesser,-7.17,-27.28,-2.45,-2.39,-0.0827,-0.0682,-28.64,258
260,0.8,-2.0,lesser,-5.62,-23.36,-1.91,-1.88,-0.0838,-0.0671,-20.7,14
220,0.85,-2.5,lesser,-5.09,-18.21,-1.73,-1.7,-0.0844,-0.0608,-21.25,8
260,0.8,-2.5,lesser,-5.31,-19.21,-1.81,-1.78,-0.0849,-0.0604,-21.97,10
120,0.9,-2.5,lesser,-7.55,-37.19,-2.59,-2.52,-0.0909,-0.0403,-23.11,8
140,0.7,-2.0,lesser,-8.75,-42.14,-3.01,-2.92,-0.0938,-0.067,-23.15,38
180,0.7,-2.5,lesser,-5.26,-18.77,-1.79,-1.76,-0.0958,-0.0647,-18.48,12
220,0.8,-2.5,lesser,-5.61,-20.52,-1.91,-1.87,-0.0992,-0.0718,-21.25,8
260,0.8,-1.0,lesser,-6.97,-19.42,-2.39,-2.33,-0.1012,-0.0854,-21.89,26
40,0.9,-1.0,lesser,-9.45,-29.82,-3.26,-3.16,-0.1035,-0.0805,-26.96,166
20,0.85,-1.0,lesser,-8.5,-30.91,-2.93,-2.84,-0.1037,-0.0895,-23.57,329
300,0.7,-3.0,lesser,-6.63,-24.99,-2.26,-2.21,-0.1122,-0.0858,-23.71,8
220,0.85,-2.0,lesser,-6.26,-22.63,-2.14,-2.09,-0.1131,-0.0921,-20.35,14
200,0.8,-1.0,lesser,-7.85,-10.42,-2.69,-2.62,-0.1142,-0.0955,-23.0,36
200,0.7,-1.5,lesser,-8.09,-5.54,-2.78,-2.7,-0.1209,-0.1046,-24.65,38
80,0.8,-3.0,lesser,-3.14,-17.35,-1.06,-1.05,-0.1212,-0.047,-14.87,8
180,0.7,-3.0,lesser,-6.21,-19.39,-2.12,-2.07,-0.1268,-0.0842,-16.93,10
40,0.9,-3.0,lesser,-0.78,-3.09,-0.26,-0.26,-0.1333,-0.0232,-4.21,12
80,0.9,-1.0,lesser,-10.37,8.37,-3.59,-3.46,-0.1334,-0.0941,-29.8,78
180,0.8,-1.5,lesser,-9.76,-21.72,-3.37,-3.26,-0.1346,-0.109,-20.81,31
240,0.7,-1.0,lesser,-8.78,-25.31,-3.02,-2.93,-0.1395,-0.1234,-16.97,34
40,0.7,-3.0,lesser,-1.01,-3.5,-0.34,-0.34,-0.1416,-0.0328,-4.9,18
80,0.8,-2.5,lesser,-5.29,-27.88,-1.8,-1.77,-0.1419,-0.0829,-18.01,29
