Symbol,n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
SPY,160,0.8,-2.0,lesser,-35.28,-120.38,-13.53,-11.79,-0.5753,-0.6937,-43.82,10
SPY,200,0.85,-2.0,lesser,-29.49,-111.63,-11.02,-9.85,-0.59,-0.7635,-42.74,8
SPY,140,0.8,-1.5,lesser,-39.02,-94.17,-15.23,-13.03,-0.5947,-0.6886,-47.26,18
SPY,120,0.8,-1.0,lesser,-40.74,-103.07,-16.04,-13.61,-0.6131,-0.7218,-53.78,28
SPY,120,0.85,-1.5,lesser,-40.19,-116.11,-15.78,-13.43,-0.6203,-0.7228,-46.09,18
SPY,300,0.8,-1.0,lesser,-32.7,-107.01,-12.39,-10.93,-0.6281,-0.7752,-40.86,9
SPY,200,0.8,-2.0,lesser,-30.99,-120.1,-11.65,-10.35,-0.6311,-0.8175,-43.81,8
SPY,200,0.8,-1.5,lesser,-34.96,-99.91,-13.39,-11.68,-0.6346,-0.7906,-47.49,11
SPY,280,0.9,-2.0,lesser,-31.0,-128.56,-11.66,-10.36,-0.6357,-0.7421,-38.98,7
SPY,200,0.85,-1.5,lesser,-34.47,-97.59,-13.17,-11.52,-0.6394,-0.8034,-43.8,11
SPY,300,0.8,-1.5,lesser,-31.24,-120.11,-11.76,-10.44,-0.6425,-0.7642,-38.68,9
SPY,120,0.8,-1.5,lesser,-41.18,-115.97,-16.25,-13.76,-0.6442,-0.7544,-49.06,24
SPY,240,0.85,-2.0,lesser,-31.63,-117.28,-11.93,-10.57,-0.6532,-0.792,-40.2,5
SPY,200,0.9,-2.0,lesser,-31.91,-125.48,-12.05,-10.66,-0.6567,-0.7871,-38.37,4
SPY,140,0.85,-1.0,lesser,-42.76,-131.24,-17.01,-14.29,-0.6698,-0.7768,-51.41,20
SPY,300,0.85,-2.0,lesser,-33.33,-141.23,-12.67,-11.13,-0.7019,-0.8166,-40.11,7
SPY,120,0.9,-1.0,lesser,-46.25,-145.92,-18.73,-15.45,-0.7486,-0.8711,-51.74,22
SPY,140,0.8,-1.0,lesser,-46.8,-157.74,-19.01,-15.64,-0.7723,-0.8955,-53.62,22
SPY,220,0.8,-1.5,lesser,-40.36,-133.29,-15.86,-13.48,-0.8022,-1.0185,-45.49,9
SPY,300,0.9,-2.0,lesser,-36.88,-167.61,-14.25,-12.32,-0.8081,-0.947,-44.42,5
SPY,120,0.9,-1.5,lesser,-47.6,-170.57,-19.42,-15.9,-0.8083,-0.9448,-52.77,16
SPY,300,0.8,-2.0,lesser,-37.31,-162.26,-14.45,-12.47,-0.8209,-0.9503,-42.45,7
SPY,220,0.9,-1.5,lesser,-42.34,-147.13,-16.8,-14.14,-0.8604,-1.1082,-50.19,9
SPY,220,0.85,-1.5,lesser,-45.03,-164.76,-18.12,-15.04,-0.9429,-1.2091,-50.39,9
SPY,200,0.9,-1.5,lesser,-45.7,-171.4,-18.45,-15.27,-0.9641,-1.243,-51.44,9
