,open,high,low,close,volume,turnover,bias_q20,liquidity_premium_z_300,position,close_diff,change_rate,executable_position,position_change,gross_strategy_returns,percentage_fees,strategy_returns,cum_returns,gross_point_pnl,point_fees,point_pnl,cum_point_pnl
2020-01-09 11:00:00,297.627044194,297.69996519,297.235093842,297.617929069,5997463.0,1954563661.682,,,0.0,-0.015495711999960804,-5.206307729499482e-05,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-09 12:00:00,297.627044194,297.709080314,296.715531747,297.184960657,6529004.0,2126241236.942,,,0.0,-0.43296841200003655,-0.0014547793318582247,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-09 13:00:00,297.189518219,297.554123198,296.92517961,297.330802649,4977619.0,1622556466.45,,,0.0,0.14584199200004377,0.0004907448602970987,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-09 14:00:00,297.330802649,297.818461808,297.308014837,297.617929069,5198332.0,1696268338.984,,,0.0,0.2871264199999928,0.0009656800353070594,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-09 15:00:00,297.617929069,297.772886185,297.257881653,297.745540812,11599165.0,3783990985.65,,,0.0,0.12761174299998856,0.0004287770679649583,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-10 09:00:00,298.328817627,298.465635645,297.675354354,298.205854598,5898205.0,1928620242.214,,,0.0,0.46031378599997197,0.001545997245650188,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-10 10:00:00,298.205854598,298.483865894,297.991649173,298.281601282,8279288.0,2708662541.458,,,0.0,0.07574668400002338,0.00025400803784392245,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-10 11:00:00,298.274218031,298.342581465,297.531335387,297.718195439,5724211.0,1870732303.6,,,0.0,-0.5634058429999982,-0.0018888387368798387,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-10 12:00:00,297.727310563,297.745540812,297.08925185,297.627591101,4599230.0,1500888936.283,,,0.0,-0.09060433799999146,-0.0003043291924647029,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-10 13:00:00,297.617929069,297.964303799,297.572353447,297.904873188,2637825.0,861939841.824,,,0.0,0.27728208700000323,0.0009316410685389354,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-10 14:00:00,297.900497928,297.900497928,297.189518219,297.412383013,3830597.0,1250369780.663,,,0.0,-0.49249017500000036,-0.001653179317711917,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-10 15:00:00,297.417396331,297.453856829,296.423847764,296.888719112,14685491.0,4784390208.732,,,0.0,-0.5236639010000204,-0.0017607333484064291,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-13 09:00:00,297.508547576,297.800231559,297.080136726,297.78200131,4210317.0,1373947468.359,,,0.0,0.8932821980000085,0.0030088115192514753,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-13 10:00:00,297.777443748,298.009879422,297.426511456,297.927843301,5099470.0,1665238022.664,,,0.0,0.1458419909999975,0.0004897609336977915,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-13 11:00:00,297.927843301,298.29244828,297.818461808,298.242315096,5110550.0,1670887467.268,,,0.0,0.3144717950000313,0.0010555300622987485,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-13 12:00:00,298.246872658,298.561344452,298.237757533,298.379041963,5166225.0,1690493983.958,,,0.0,0.13672686699999304,0.0004584422131916899,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-13 13:00:00,298.379041963,298.483774743,298.237757533,298.274218031,3943363.0,1290225672.488,,,0.0,-0.1048239320000448,-0.0003513113096362819,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-13 14:00:00,298.274218031,298.611477637,298.183066787,298.570459577,4133656.0,1353372250.191,,,0.0,0.29624154600003294,0.0009931852238374006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-13 15:00:00,298.574925988,298.939622118,298.3744844,298.930506993,12835050.0,4206085808.9040003,,,0.0,0.36004741599998624,0.0012059043500487476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-14 09:00:00,298.492981019,298.748204504,298.119260915,298.155721413,6267207.0,2051910745.853,,,0.0,-0.7747855800000139,-0.002591858515190504,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-14 10:00:00,298.146606289,298.793780126,298.101030666,298.578663189,7337763.0,2403820325.237,,,0.0,0.42294177600001603,0.0014185264465012004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-14 11:00:00,298.584132263,298.957852367,298.520326392,298.948737242,2857104.0,936359061.626,,,0.0,0.3700740529999962,0.0012394524412675523,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-14 12:00:00,298.952930199,299.340687594,298.884931371,299.277246328,2626917.0,862099349.813,,,0.0,0.32850908599999684,0.0010988809955536638,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-14 13:00:00,299.276881723,299.541220333,298.420060023,298.812010375,9269184.0,3040161751.146,,,0.0,-0.4652359529999899,-0.0015545316548726262,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-14 14:00:00,298.816567937,299.030773362,297.922374227,298.611477637,11854590.0,3882557145.899,,,0.0,-0.2005327379999926,-0.0006710999927624917,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-14 15:00:00,298.602362512,298.739089379,298.04633992,298.47475077,15045161.0,4925946175.636,,,0.0,-0.13672686699999304,-0.00045787545770825666,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-15 09:00:00,298.383599525,299.496920828,298.338023903,299.430927327,4399408.0,1443420908.006,,,0.0,0.956176556999992,0.003203542525902936,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-15 10:00:00,299.427281277,299.796443818,299.244978787,299.75998332,5446414.0,1789478081.392,,,0.0,0.3290559929999972,0.0010989378950847506,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-15 11:00:00,299.75998332,299.905825311,299.276881723,299.440953963,7123748.0,2340615878.709,,,0.0,-0.3190293569999767,-0.001064282675314332,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-15 12:00:00,299.440953963,299.769098444,299.092300452,299.140154856,8945152.0,2937100130.74,,,0.0,-0.30079910700004575,-0.0010045356288745921,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-15 13:00:00,299.140154856,299.222190976,298.729974255,298.760054166,8581448.0,2814266863.958,,,0.0,-0.3801006900000061,-0.0012706441573615557,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-15 14:00:00,298.766434753,299.577680831,298.766434753,299.304227096,8128902.0,2668833533.171,,,0.0,0.544172930000002,0.0018214380484000703,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-15 15:00:00,299.304227096,299.304227096,298.301563405,299.14926998,17141707.0,5619042737.421,,,0.0,-0.1549571159999914,-0.000517724448810708,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-16 09:00:00,300.525653775,300.789992385,300.306890788,300.470963029,5060238.0,1668617936.784,,,0.0,1.3216930490000323,0.004418172402989251,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-16 10:00:00,300.470963029,300.826452883,300.35246641,300.525653775,6177536.0,2037293026.877,,,0.0,0.054690746000005674,0.0001820167428117081,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-16 11:00:00,300.5347689,300.726186514,300.297775664,300.680610891,5628416.0,1854164310.263,,,0.0,0.1549571159999914,0.0005156202608780358,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-16 12:00:00,300.689726016,300.79910751,300.562114273,300.744416763,2507486.0,827220186.765,,,0.0,0.063805871999989,0.00021220481031658522,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-16 13:00:00,300.744416763,300.926719252,300.625920145,300.88114363,3363439.0,1109835743.527,,,0.0,0.13672686699999304,0.00045462811403651493,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-16 14:00:00,300.876586067,300.926719252,300.69884114,300.817337758,3914994.0,1290628177.125,,,0.0,-0.063805871999989,-0.00021206337901469308,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-16 15:00:00,300.817337758,301.637698961,300.726186514,301.637698961,17499488.0,5779686024.026,,,0.0,0.8203612030000045,0.0027271074503689707,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-17 09:00:00,302.348678669,302.403369416,301.874692197,302.164462004,4705322.0,1559506164.388,,,0.0,0.5267630429999599,0.0017463435267355276,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-17 10:00:00,302.16637618,302.458060163,301.993188815,302.08434006,10609168.0,3515680011.861,,,0.0,-0.08012194399998407,-0.00026516005048571323,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-17 11:00:00,302.08434006,302.293987923,301.774425828,302.221066927,11932886.0,3952513426.657,,,0.0,0.13672686699999304,0.0004526115685865584,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-17 12:00:00,302.221066927,302.458060163,302.136752025,302.221066927,7505758.0,2488319099.028,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-17 13:00:00,302.211951802,302.43071479,302.16637618,302.321333296,3629619.0,1202563351.596,,,0.0,0.1002663689999963,0.00033176498918319197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-17 14:00:00,302.318781061,302.43071479,302.157261056,302.33044842,6325265.0,2097429570.984,,,0.0,0.009115124000004471,3.01504491946325e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-17 15:00:00,302.33044842,302.786204644,301.984073691,302.576556781,29303114.0,9721144821.582,,,0.0,0.24610836100004008,0.0008140376276561945,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-21 09:00:00,301.619468712,302.221066927,301.583008214,302.075224935,6935403.0,2297759588.816,,,0.0,-0.5013318460000278,-0.001656876036046917,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-21 10:00:00,302.08434006,302.202836678,301.665044334,301.911152695,8194081.0,2715589882.3259997,,,0.0,-0.16407223999999587,-0.0005431502700538049,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-21 11:00:00,301.90203757,302.695053399,301.838231699,302.594878181,17154143.0,5694900008.805,,,0.0,0.6837254860000144,0.0022646579296483615,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-21 12:00:00,302.59478703,302.786204644,302.530981159,302.626689966,4308362.0,1430627730.923,,,0.0,0.031811785000002146,0.00010512995193856511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-21 13:00:00,302.631156377,302.704168524,301.665044334,301.774425828,7923215.0,2626563753.252,,,0.0,-0.8522641380000096,-0.0028162226474331975,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-21 14:00:00,301.769868266,302.16637618,301.546547716,302.066109811,6238689.0,2066570634.694,,,0.0,0.29168398299998444,0.0009665629623838434,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-21 15:00:00,302.056994686,302.403369416,301.728850205,301.984073691,13266092.0,4395521087.858,,,0.0,-0.08203611999999794,-0.000271583330057501,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-22 09:00:00,302.840895391,303.323996988,302.622132404,303.223730619,5124747.0,1703396604.59,,,0.0,1.239656927999988,0.004105040748832556,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-22 10:00:00,303.232845743,303.488069228,302.877355889,303.077888627,9015115.0,2996550807.976,,,0.0,-0.14584199199998693,-0.00048097156413928754,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-22 11:00:00,303.068773503,303.068773503,302.476290412,302.626689966,8370589.0,2777270859.879,,,0.0,-0.4511986609999781,-0.001488721803639348,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-22 12:00:00,302.631247528,302.777089519,302.303103047,302.777089519,3191230.0,1059297699.749,,,0.0,0.15039955299999974,0.0004969804646672848,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-22 13:00:00,302.777089519,302.986737382,302.713283648,302.731513897,2855276.0,948044138.833,,,0.0,-0.045575622000001204,-0.00015052533225812237,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-22 14:00:00,302.731513897,302.872798326,302.55376897,302.690495837,4491097.0,1490355191.266,,,0.0,-0.04101805999999897,-0.00013549319485106626,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-22 15:00:00,302.695053399,302.713283648,301.865577072,302.020534188,10862557.0,3601482048.268,,,0.0,-0.6699616490000153,-0.0022133554182051096,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
